fetch_time,orcid_id,doi,title,journal,year,month,date,name,en_name
2026-03-28 06:59:01,0000-0003-4717-2814,10.3390/inorganics13100316,Theoretical Study on the <i>Ortho</i>–<i>Para</i> Reactivity Difference in Ru-Catalyzed Amination of Aminopyridines via η<sup>6</sup>-Coordination: Role of Meisenheimer Intermediate Coordination Ability,Inorganics,2025,9,25,洪鑫,Hong Xin
2026-03-28 06:59:02,0000-0003-4717-2814,10.1126/science.adu3996,Asymmetric amination of alkyl radicals with two minimally different alkyl substituents,Science,2025,4,18,洪鑫,Hong Xin
2026-03-28 06:59:03,0000-0003-4717-2814,10.1126/sciadv.adr4435,Rhodium-Catalyzed Atropodivergent Hydroamination of Alkynes by Leveraging Two Potential Enantiodetermining Steps,Science Advances,2024,11,29,洪鑫,Hong Xin
2026-03-28 06:59:04,0000-0003-4717-2814,10.3390/molecules23102681,Computational Study of Mechanism and Thermodynamics of Ni/IPr-Catalyzed Amidation of Esters,Molecules,2018,10,18,洪鑫,Hong Xin
2026-03-28 06:59:04,0000-0003-4717-2814,10.1007/s11426-017-9025-1,Ni-mediated C–N activation of amides and derived catalytic transformations,Science China Chemistry,2017,11,0,洪鑫,Hong Xin
2026-03-28 06:59:05,0000-0003-4717-2814,10.1021/acs.joc.7b00407,(2+1)-Cycloaddition Reactions Give Further Evidence of the Nitrenium-like Character of 1-Aza-2-azoniaallene Salts,The Journal of Organic Chemistry,2017,4,7,洪鑫,Hong Xin
2026-03-28 06:59:06,0000-0003-4717-2814,10.1021/jacs.7b00714,Mechanisms and Origins of Chemo- and Regioselectivities of Ru(II)-Catalyzed Decarboxylative C-H Alkenylation of Aryl Carboxylic Acids with Alkynes: A Computational Study,Journal of the American Chemical Society,2017,5,31,洪鑫,Hong Xin
2026-03-28 06:59:07,0000-0003-4717-2814,10.1021/jacs.6b12329,Palladium-Catalyzed Suzuki-Miyaura Coupling of Aryl Esters,Journal of the American Chemical Society,2017,1,25,洪鑫,Hong Xin
2026-03-28 06:59:07,0000-0003-4717-2814,10.1021/jacs.7b01801,The Origins of Dramatic Differences in Five-Membered vs Six-Membered Chelation of Pd(II) on Efficiency of C(sp(3))-H Bond Activation,Journal of the American Chemical Society,2017,6,28,洪鑫,Hong Xin
2026-03-28 06:59:08,0000-0003-4717-2814,10.1038/ncomms15438,Understanding trends in electrochemical carbon dioxide reduction rates,Nature Communications,2017,5,22,洪鑫,Hong Xin
2026-03-28 06:59:09,0000-0003-4717-2814,10.1021/jacs.6b04113,Distortion-Controlled Reactivity and Molecular Dynamics of Dehydro-Diels-Alder Reactions,Journal of the American Chemical Society,2016,7,6,洪鑫,Hong Xin
